Šifra proizvoda;Naziv proizvoda;Kategorija;JM;Aktualna cijena (EUR);Sidrena cijena (EUR);Napomena;Marka;Cijena za jedinicu mjere (EUR);Poseban oblik prodaje;Naziv posebnog oblika prodaje;Barkod;Dostupnost
1;Majkulica boje;Majkulice;kom;20,00;20,00;Sidrena cijena = cijena primjenjiva 10.09.2026.;Save with M;20,00;NE;;;dostupno
22;Komplet kartica - mjesečna štednja;Kartice štednje;kom;3,50;3,50;Sidrena cijena = cijena primjenjiva 10.09.2026.;Save with M;3,50;NE;;;dostupno
23;Komplet kartica štednje - krštenje;Kartice štednje;kom;2,00;2,00;Sidrena cijena = cijena primjenjiva 10.09.2026.;Save with M;2,00;NE;;;dostupno
24;Komplet kartica štednje - putovanja;Kartice štednje;kom;2,00;2,00;Sidrena cijena = cijena primjenjiva 10.09.2026.;Save with M;2,00;NE;;;dostupno
25;Komplet kartica štednje - rođendan;Kartice štednje;kom;2,50;2,50;Sidrena cijena = cijena primjenjiva 10.09.2026.;Save with M;2,50;NE;;;dostupno
26;Komplet kartica štednje - vjenčanje;Kartice štednje;kom;3,50;3,50;Sidrena cijena = cijena primjenjiva 10.09.2026.;Save with M;3,50;NE;;;dostupno
27;Komplet kartica štednje - vrijeme za mene;Kartice štednje;kom;2,50;2,50;Sidrena cijena = cijena primjenjiva 10.09.2026.;Save with M;2,50;NE;;;dostupno
46;Majkulica STARTER PAKET;Paketi;kom;15,00;15,00;Sidrena cijena = cijena primjenjiva 10.09.2026.;Save with M;15,00;NE;;;dostupno
49;Majkulica pro;Majkulice;kom;25,00;25,00;Sidrena cijena = cijena primjenjiva 10.09.2026.;Save with M;25,00;NE;;;dostupno
61;Dodatnih 6 ZIP ili PLASTIČNIH kuvertica;Dodaci;kom;8,00;8,00;Sidrena cijena = cijena primjenjiva 10.09.2026.;Save with M;8,00;NE;;;dostupno
62;Majkulica s uzorkom;Majkulice;kom;23,00;23,00;Sidrena cijena = cijena primjenjiva 10.09.2026.;Save with M;23,00;NE;;;dostupno
42;Zlatne naljepnice;Dodaci;kom;4,00;4,00;"Dodatna naplatna opcija uz proizvod; dodatna cijena = cijena primjenjiva 10.09.2026.";Save with M;4,00;NE;;;dostupno
